code,date_on,price_cost
002189.SZ,20190411,15.35
300308.SZ,20190410,45.26
600737.SH,20190409,7.52
600199.SH,20190404,5.65
300239.SZ,20190329,3.87
300009.SZ,20190328,12.88
300140.SZ,20190328,7.95
300495.SZ,20190325,11.70
601500.SH,20190325,6.45
300479.SZ,20190322,13.20
002669.SZ,20190315,11.00
600985.SH,20190311,8.61
002560.SZ,20190304,4.72
300290.SZ,20190304,5.86
300427.SZ,20190301,10.08
300505.SZ,20190227,21.49
000703.SZ,20190225,13.80
300091.SZ,20190225,3.31
002196.SZ,20190222,4.70
300094.SZ,20190222,4.85
300503.SZ,20190220,8.24
600559.SH,20190213,11.69
300456.SZ,20190212,22.10
000878.SZ,20190131,7.48
300486.SZ,20190129,11.81
600733.SH,20190129,7.70
601113.SH,20190128,7.09
002787.SZ,20190124,6.90
600740.SH,20190124,7.63
601919.SH,20190124,3.78
002596.SZ,20190121,5.78
000547.SZ,20190117,7.42
300244.SZ,20190116,15.48
600015.SH,20190108,11.40
603936.SH,20190107,13.48
