股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
000813.SZ,德展健康,6.10,-0.49,定向增发机构配售股份,20200108,227485401.00,1417234048.23,6.62
000821.SZ,京山轻机,6.64,0.45,定向增发机构配售股份,20200312,5091428.00,33297939.12,14.09
000826.SZ,启迪环境,8.86,-2.85,定向增发机构配售股份,20200818,234562172.00,2104022682.84,19.25
000829.SZ,天音控股,7.33,0.41,定向增发机构配售股份,20201214,--,--,10.47
000837.SZ,*ST秦机,5.46,2.06,定向增发机构配售股份,20200409,110499048.00,425421334.80,6.57
000851.SZ,高鸿股份,7.69,0.52,定向增发机构配售股份,20201222,--,--,8.25
000861.SZ,海印股份,3.68,3.66,定向增发机构配售股份,20200622,33755600.00,109705700.00,1.68
000875.SZ,吉电股份,4.26,1.19,定向增发机构配售股份,20200106,191996499.00,650868131.61,5.60
000876.SZ,新希望,38.87,3.99,定向增发机构配售股份,20200225,12159930.00,274571219.40,7.68
000877.SZ,天山股份,21.80,0.46,定向增发机构配售股份,20201214,--,--,6.28
000878.SZ,云南铜业,14.59,2.96,定向增发机构配售股份,20200203,225565249.00,2447382951.65,7.48
000881.SZ,中广核技,10.54,-9.92,定向增发机构配售股份,20200410,383679136.00,2651222829.76,9.28
000882.SZ,华联股份,2.05,0.49,定向增发机构配售股份,20200706,255192878.00,523145399.90,3.33
000903.SZ,云内动力,6.67,7.41,定向增发机构配售股份,20201215,--,--,3.54
000909.SZ,数源科技,8.73,0.81,定向增发机构配售股份,20200122,1350438.00,11087095.98,14.69
000923.SZ,河钢资源,13.97,-0.92,定向增发机构配售股份,20200810,225176948.00,3377654220.00,12.30
000923.SZ,河钢资源,13.97,-0.92,定向增发机构配售股份,20200831,204724406.00,2859999951.82,12.61
000925.SZ,众合科技,8.46,0.71,定向增发机构配售股份,20200716,55548834.00,425504068.44,11.39
000925.SZ,众合科技,8.46,0.71,定向增发机构配售股份,20200731,16924400.00,131671832.00,11.39
000928.SZ,中钢国际,4.41,0.92,定向增发机构配售股份,20200204,37735848.00,145660373.28,7.59
000928.SZ,中钢国际,4.41,0.92,定向增发机构配售股份,20200318,412542415.00,1736803567.15,4.67
000950.SZ,重药控股,5.69,1.97,定向增发机构配售股份,20201016,--,--,--
000967.SZ,盈峰环境,9.44,0.86,定向增发机构配售股份,20200114,858311516.00,5664856005.60,7.53
000968.SZ,蓝焰控股,8.53,1.43,定向增发机构配售股份,20200206,262870153.00,2292227734.16,6.50
000968.SZ,蓝焰控股,8.53,1.43,定向增发机构配售股份,20200424,190885507.00,1517539780.65,6.87
000971.SZ,*ST高升,2.78,3.73,定向增发机构配售股份,20200110,210280370.00,647663539.60,4.41
000971.SZ,*ST高升,2.78,3.73,定向增发机构配售股份,20200615,8499579.00,23968812.78,7.56
000971.SZ,*ST高升,2.78,3.73,定向增发机构配售股份,20200928,--,--,9.79
000971.SZ,*ST高升,2.78,3.73,定向增发机构配售股份,20201026,--,--,7.56
000980.SZ,*ST众泰,1.27,0.00,定向增发机构配售股份,20200831,--,--,9.61
