code,date_free
300078.SZ,20201209
300080.SZ,20201014
300091.SZ,20200225
300091.SZ,20200515
300094.SZ,20200224
300098.SZ,20201222
300109.SZ,20200630
300109.SZ,20200728
300120.SZ,20200910
300120.SZ,20201116
300123.SZ,20201023
300124.SZ,20201207
300132.SZ,20200528
300140.SZ,20200121
300140.SZ,20200330
300140.SZ,20200731
300150.SZ,20200605
300164.SZ,20200508
300180.SZ,20200724
300184.SZ,20200323
300184.SZ,20200414
300190.SZ,20200629
300192.SZ,20201112
300197.SZ,20200316
300200.SZ,20200708
300201.SZ,20200720
300209.SZ,20200615
300221.SZ,20200302
300222.SZ,20200616
300224.SZ,20200319
300227.SZ,20200528
300227.SZ,20200731
300232.SZ,20201221
300233.SZ,20200327
300239.SZ,20200330
300241.SZ,20200206
300242.SZ,20200402
300242.SZ,20200622
300244.SZ,20200116
300266.SZ,20201117
300269.SZ,20200214
300269.SZ,20200306
300271.SZ,20200907
300271.SZ,20201016
300276.SZ,20201229
300278.SZ,20200828
300280.SZ,20200518
300281.SZ,20200924
300282.SZ,20200303
300284.SZ,20200716
300285.SZ,20200615
300290.SZ,20200304
300302.SZ,20200413
300302.SZ,20200522
300302.SZ,20201112
300308.SZ,20200410
300308.SZ,20200714
300308.SZ,20200811
300331.SZ,20200106
300332.SZ,20200120
300334.SZ,20200203
300338.SZ,20200402
300340.SZ,20201109
300342.SZ,20200601
300343.SZ,20201228
300348.SZ,20200116
300358.SZ,20200306
300365.SZ,20201009
300375.SZ,20201120
300375.SZ,20201215
300383.SZ,20200429
300385.SZ,20201214
300388.SZ,20200727
300390.SZ,20201225
300391.SZ,20200525
300393.SZ,20201228
300395.SZ,20201026
300398.SZ,20201022
300409.SZ,20201207
300410.SZ,20200221
300411.SZ,20201103
300413.SZ,20200703
300414.SZ,20201009
300420.SZ,20201116
300425.SZ,20200219
300425.SZ,20201203
300427.SZ,20200302
300427.SZ,20201013
300428.SZ,20200114
300428.SZ,20200429
300430.SZ,20200417
300432.SZ,20200330
300434.SZ,20200818
300435.SZ,20201117
300435.SZ,20201209
300441.SZ,20200609
300447.SZ,20200907
300449.SZ,20200929
300450.SZ,20200624
300451.SZ,20200828
300455.SZ,20201231
300457.SZ,20200313
300462.SZ,20201026
300464.SZ,20200226
300464.SZ,20200605
300464.SZ,20201026
300466.SZ,20201013
300467.SZ,20201208
